nFID, R100, R200, R300, R400, R500, R600, R700, R800, R900, R1000, R1100, R1200, R1300, R1400, R1500, R1600, R1700, R1800, R1900, R2000, R2100, R2200, R2300, R2400, R2500, R2600, R2700, R2800, R2900, R3000, R3100, R3200, R3300, R3400, R3500, R3600, R3700, R3800, R3900, R4000, R4100, R4200, R4300, R4400, R4500, R4600, R4700, R4800, R4900, R5000, R5100, R5200, R5300, R5400, R5500, R5600, R5700, R5800, R5900, R6000, R6100, R6200, R6300, R6400, R6500, R6600, R6700, R6800, R6900, R7000, R7100, R7200, R7300, R7400, R7500, R7600, R7700, R7800, R7900, R8000, R8100, R8200, R8300, R8400, R8500, R8600, R8700, R8800, R8900, R9000, R9100, R9200, R9300, R9400, R9500, R9600, R9700, R9800, R9900, R10000
1044,0.001867,0.003443,0.006825,0.009936,0.01047,0.013867,0.018328,0.011277,0.015367,0.017577,0.017398,0.01986,0.023715,0.018749,0.022026,0.024182,0.020045,0.027094,0.018269,0.019581,0.023035,0.025614,0.018844,0.017193,0.021149,0.024763,0.016724,0.019137,0.017698,0.015956,0.012279,0.0118,0.01535,0.009147,0.012944,0.017616,0.024073,0.019617,0.027788,0.022818,0.01936,0.011246,0.010247,0.007845,0.00824,0.022875,0.006799,0.013937,0.009539,0.00857,0.011528,0.010403,0.007581,0.012297,0.016007,0.019027,0.016802,0.019599,0.020547,0.019389,0.01607,0.012363,0.015266,0.007173,0.005406,0.002931,0.003092,0.006086,0.005538,0.013097,0.010351,0.006798,0.002445,0.00162,0.000531,0.00183,0.002668,0,0.002082,0.000836,0.000174,0.000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9098,0.001214,0.003266,0.008199,0.013569,0.01407,0.013812,0.014755,0.018289,0.016873,0.020459,0.021008,0.026219,0.027563,0.024379,0.026624,0.028428,0.025641,0.030841,0.031162,0.031313,0.028179,0.026526,0.021502,0.020663,0.020448,0.021074,0.016146,0.020819,0.01465,0.012826,0.017756,0.012804,0.013929,0.019736,0.025895,0.017269,0.022276,0.020599,0.013903,0.012123,0.016661,0.013703,0.014649,0.01679,0.013282,0.013103,0.015325,0.014237,0.010336,0.011199,0.010985,0.017219,0.007637,0.00516,0.01144,0.005242,0.004544,0.004176,0.003596,0.002595,0.004684,0.00356,0.004206,0.005842,0.005778,0.00887,0.003134,0.006384,0.0124,0.006427,0.000935,0.000073,0.000096,0.000099,0.00006,0,0.000241,0.000298,0.000058,0,0,0.000033,0.000511,0.000133,0.000068,0.000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7652,0.001667,0.00284,0.003799,0.00522,0.009414,0.011321,0.015642,0.022263,0.021713,0.023265,0.030634,0.018651,0.020526,0.027668,0.027531,0.021285,0.02522,0.028914,0.027951,0.027041,0.028351,0.027216,0.029322,0.032473,0.030119,0.030259,0.029123,0.029493,0.034147,0.031372,0.038487,0.03352,0.033089,0.027771,0.023485,0.021152,0.015786,0.02069,0.013761,0.012796,0.020517,0.01242,0.010534,0.010404,0.00747,0.00541,0.0044,0.004977,0.003255,0.005402,0.005681,0.003715,0.002339,0.003513,0.002987,0.003949,0.00169,0.001216,0.000694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6427,0.00115,0.000818,0.003065,0.003712,0.004923,0.006134,0.006761,0.006458,0.008551,0.009688,0.009188,0.007057,0.007725,0.009868,0.009133,0.009557,0.01272,0.008499,0.010008,0.008079,0.010173,0.009563,0.010243,0.011699,0.013985,0.01209,0.01388,0.011877,0.013892,0.011652,0.013033,0.02101,0.013771,0.013571,0.014666,0.010773,0.015636,0.013856,0.023505,0.019801,0.020536,0.017516,0.013661,0.012703,0.016868,0.014939,0.020097,0.014823,0.013078,0.015695,0.009981,0.010246,0.020511,0.026587,0.020898,0.024722,0.026597,0.01505,0.01644,0.012328,0.012712,0.022821,0.018424,0.012615,0.014695,0.019484,0.010704,0.011534,0.01354,0.011868,0.012258,0.021753,0.017336,0.021648,0.02837,0.024976,0.027177,0.020253,0.012219,0.037309,0.009245,0.008223,0.004588,0.005747,0.006456,0.006805,0.013973,0.024038,0.016711,0.019726,0.010072,0.005588,0.00346,0.004016,0.001464,0.007309,0.003954,0.0012,0.000918,0.000603
7722,0.001709,0.006451,0.005557,0.009158,0.010973,0.012949,0.013085,0.014824,0.016807,0.016103,0.02331,0.025008,0.023644,0.022177,0.02056,0.023439,0.025771,0.021373,0.028049,0.027217,0.021823,0.022708,0.031243,0.031928,0.037457,0.03705,0.029504,0.033927,0.034455,0.037064,0.034587,0.034866,0.02575,0.023045,0.023862,0.027167,0.018512,0.016205,0.011969,0.013291,0.011788,0.010171,0.009378,0.008237,0.00614,0.007956,0.007173,0.005439,0.010453,0.006386,0.008085,0.004807,0.004791,0.004066,0.002281,0.004157,0.003742,0.004393,0.002436,0.003419,0.003374,0.003387,0.002527,0.001345,0.000746,0.000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5760,0.000816,0.001085,0.001062,0.000941,0.00135,0.002945,0.002463,0.004583,0.002384,0.005921,0.004053,0.003871,0.008099,0.006459,0.006628,0.0071,0.008949,0.007304,0.007223,0.010309,0.010369,0.011628,0.009808,0.010226,0.010994,0.011575,0.010184,0.010655,0.013777,0.012746,0.011656,0.017224,0.012913,0.014412,0.011736,0.013251,0.01642,0.020238,0.017271,0.012777,0.01535,0.016319,0.020487,0.020186,0.016524,0.014165,0.014567,0.017799,0.016306,0.01643,0.016711,0.017567,0.014607,0.01519,0.019301,0.021533,0.012523,0.016781,0.014527,0.018384,0.018351,0.018479,0.014752,0.024742,0.01981,0.028901,0.020978,0.02036,0.022896,0.016152,0.0139,0.016452,0.012826,0.01573,0.017187,0.015489,0.022697,0.025011,0.021015,0.026563,0.023604,0.021377,0.028886,0.01216,0.030694,0.015148,0.007974,0.007354,0.006624,0.00783,0.010092,0.010667,0.013642,0.035981,0.068067,0.029161,0.032276,0.007565,0.019077,0.008017
5768,0.00089,0.001074,0.001029,0.000912,0.001712,0.00262,0.00343,0.003597,0.002652,0.005741,0.00429,0.003635,0.00842,0.00626,0.006669,0.007638,0.009709,0.005956,0.007156,0.011404,0.009323,0.011886,0.011088,0.009382,0.011039,0.010706,0.01052,0.010626,0.014044,0.012404,0.011649,0.017372,0.013075,0.013834,0.012277,0.013553,0.016272,0.019832,0.017176,0.013276,0.014679,0.017145,0.0201,0.019797,0.016584,0.015168,0.014087,0.017327,0.016101,0.017443,0.016455,0.017239,0.014639,0.015222,0.019623,0.021087,0.013245,0.016135,0.014082,0.018882,0.019169,0.017278,0.014939,0.024681,0.021315,0.027507,0.02047,0.021459,0.022383,0.015945,0.013635,0.016206,0.013503,0.015067,0.017879,0.0148,0.02307,0.024602,0.021665,0.027566,0.022478,0.021944,0.027768,0.012433,0.031077,0.015132,0.007083,0.007434,0.007263,0.007658,0.009689,0.01073,0.014485,0.036408,0.065939,0.032016,0.028553,0.007711,0.01886,0.008017
706,0.001703,0.007268,0.007733,0.01375,0.01357,0.01913,0.020669,0.024987,0.028306,0.032993,0.030116,0.022192,0.025272,0.026128,0.033847,0.030164,0.030897,0.029785,0.025146,0.024872,0.018217,0.026194,0.028617,0.025081,0.016452,0.020215,0.015878,0.011529,0.010879,0.016581,0.022002,0.024133,0.021813,0.017715,0.019284,0.018048,0.018402,0.015189,0.016161,0.012582,0.017619,0.009667,0.013623,0.014225,0.013417,0.014862,0.011054,0.01042,0.015035,0.005939,0.013117,0.005273,0.003045,0.004087,0.003281,0.004858,0.00314,0.002747,0.003411,0.00487,0.006845,0.007799,0.005464,0.01162,0.005895,0.003631,0.000308,0.00009,0.000034,0.000073,0.000035,0.000091,0.000253,0.000181,0,0,0,0.000324,0.000239,0.000012,0.000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4538,0.00073,0.00205,0.007873,0.010189,0.013166,0.010932,0.012748,0.017969,0.019746,0.017013,0.018966,0.016889,0.017919,0.017307,0.023932,0.023697,0.019922,0.016169,0.021005,0.026564,0.024822,0.033041,0.030202,0.030168,0.024282,0.027549,0.029388,0.036655,0.042387,0.036472,0.036268,0.036799,0.031095,0.027872,0.030738,0.038289,0.023504,0.023088,0.015911,0.013603,0.011219,0.008509,0.006173,0.005914,0.007502,0.008453,0.00517,0.014514,0.008164,0.006657,0.005384,0.00289,0.004105,0.003854,0.004457,0.00379,0.002076,0.002894,0.003412,0.00338,0.002808,0.001301,0.001199,0.000324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7406,0.001518,0.003364,0.004876,0.00322,0.004753,0.006893,0.009159,0.012373,0.012403,0.014785,0.013319,0.020125,0.018327,0.021591,0.024999,0.032621,0.029659,0.024396,0.034337,0.032405,0.029345,0.027658,0.034645,0.029448,0.032553,0.032528,0.036305,0.026831,0.034571,0.032282,0.02447,0.017441,0.014058,0.014066,0.012415,0.012401,0.015296,0.020331,0.013208,0.008217,0.005043,0.008475,0.011563,0.011882,0.014035,0.015344,0.01524,0.018693,0.018428,0.02599,0.015654,0.014026,0.008072,0.008592,0.010277,0.007536,0.010574,0.004666,0.008682,0.005391,0.001856,0.001979,0.001203,0.000134,0.000201,0.001375,0.001333,0.00213,0.001671,0.000385,0.000144,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
