average Silhouette Value = 0.441648

nFID			silhouette_val
1044			0.609520
9098			-0.635839
7652			0.700498
6427			0.198335
7722			0.678177
5760			0.196076
5768			0.191650
706			0.641319
4538			0.633112
7406			0.623105
8872			0.629872
8341			0.684342
9337			0.624769
8520			0.522861
8991			0.585576
8082			0.471830
1605			-0.346971
551			0.692689
4357			0.640776
83			0.594611
3315			0.480247
2680			0.493635
3473			0.592938
3762			0.531287
2627			0.659591
4079			0.629907
4165			-0.647618
1303			0.729341
1743			0.577225
1185			0.594561
2537			0.418803
5195			-0.439058
2880			0.584228
403			0.360244
3189			0.634860
3198			0.616796
8365			0.534676
7669			0.641550
4463			0.687334
236			0.674605
1487			-0.509800
1417			0.620057
1354			0.543862
334			0.511722
7408			0.576579
8668			0.548674
4834			0.594079
7001			0.644358
2753			0.574296
3468			0.491964
5213			0.475684
3108			-0.637308
1501			0.606313
2117			0.605015
1752			0.568214
7145			0.158399
5298			0.375113
206			-0.582631
8893			0.635893
6905			0.320938
5537			-0.606851
3726			0.633181
5067			0.488761
5071			0.468426
8997			0.494809
1283			0.516013
5364			-0.299272
1149			0.602786
2068			0.613086
1859			0.604217
6655			0.584207
6028			0.657599
6698			0.616607
66			0.590087
3510			0.602929
8297			0.183005
7352			0.622307
5838			0.610668
5644			0.705712
6734			0.596595
4088			0.642492
9202			0.556233
7113			0.513870
5350			-0.308985
8860			0.655214
7100			0.480725
7564			0.598916
1233			-0.655908
4485			0.676605
4026			0.646885
3392			0.659757
3035			0.654066
6230			0.555389
4790			0.635475
6871			0.628443
4049			0.659917
9080			0.122901
6963			0.661843
1393			0.641550
